speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCA_019448385.1	14446	47	0.33	0	0.0	0.33	14399	99.67
GCF_002157705.1	5917	46	0.78	0	0.0	0.78	5871	99.22
GCA_905182985.1	49755	406	0.82	0	0.0	0.82	49349	99.18
GCA_019828565.1	8272	1	0.01	0	0.0	0.01	8271	99.99
GCF_000002865.3	9205	883	9.59	0	0.0	9.59	8322	90.41
GCF_001457755.1	9059	1397	15.42	0	0.0	15.42	7662	84.58
GCA_040357535.1	4900	3356	68.49	0	0.0	68.49	1544	31.51
GCA_031835245.2	26091	486	1.86	7	0.03	1.89	25598	98.11
GCF_002999335.1	5793	638	11.01	0	0.0	11.01	5155	88.99
GCF_000499385.1	8609	932	10.83	0	0.0	10.83	7677	89.17
GCA_046127205.1	18841	36	0.19	2	0.01	0.2	18803	99.8
GCA_016864655.1	29905	6	0.02	0	0.0	0.02	29899	99.98
GCF_000006425.1	3885	0	0.0	0	0.0	0.0	3885	100.0
GCA_036940025.2	14490	1553	10.72	0	0.0	10.72	12937	89.28
GCA_964200215.2	15452	9992	64.66	0	0.0	64.66	5460	35.34
GCA_000755165.2	8401	1	0.01	0	0.0	0.01	8400	99.99
GCF_900090045.1	6141	235	3.83	0	0.0	3.83	5906	96.17
GCF_017916325.1	7967	0	0.0	0	0.0	0.0	7967	100.0
GCA_900660405.1	12039	83	0.69	0	0.0	0.69	11956	99.31
GCA_036939355.2	13366	305	2.28	0	0.0	2.28	13061	97.72
GCF_000499745.2	10073	938	9.31	0	0.0	9.31	9135	90.69
GCF_000188695.1	11725	147	1.25	23	0.2	1.45	11555	98.55
GCF_000755165.1	7748	125	1.61	0	0.0	1.61	7623	98.39
GCF_001601855.1	5307	788	14.85	0	0.0	14.85	4519	85.15
GCA_905183005.1	41578	200	0.48	0	0.0	0.48	41378	99.52
GCA_008271595.1	13005	1632	12.55	0	0.0	12.55	11373	87.45
GCA_903995115.1	10365	0	0.0	0	0.0	0.0	10365	100.0
GCA_030267905.1	14735	91	0.62	0	0.0	0.62	14644	99.38
GCA_900088485.1	8581	166	1.93	0	0.0	1.93	8415	98.07
GCA_028826165.1	14759	0	0.0	0	0.0	0.0	14759	100.0
GCA_964200205.2	23034	12601	54.71	0	0.0	54.71	10433	45.29
GCA_051620835.1	11570	0	0.0	0	0.0	0.0	11570	100.0
GCA_000512085.1	39963	13281	33.23	0	0.0	33.23	26682	66.77
GCA_019188245.1	8397	0	0.0	0	0.0	0.0	8397	100.0
GCF_000247585.1	27942	583	2.09	1374	4.92	7.0	25985	93.0
GCA_964200195.2	26923	17353	64.45	0	0.0	64.45	9570	35.55
GCF_000006355.2	5325	139	2.61	0	0.0	2.61	5186	97.39
GCF_000149755.1	26492	5661	21.37	0	0.0	21.37	20831	78.63
GCF_000315625.1	24822	3842	15.48	1	0.0	15.48	20979	84.52
GCA_036939895.2	19058	3186	16.72	0	0.0	16.72	15872	83.28
GCA_051911535.1	8450	0	0.0	0	0.0	0.0	8450	100.0
GCA_036939915.2	10430	263	2.52	0	0.0	2.52	10167	97.48
GCF_900005765.1	5159	97	1.88	0	0.0	1.88	5062	98.12
GCA_051911575.1	7909	0	0.0	0	0.0	0.0	7909	100.0
GCF_000151315.2	8792	272	3.09	45	0.51	3.61	8475	96.39
GCA_027243985.1	3754	81	2.16	0	0.0	2.16	3673	97.84
