speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCF_943734735.2	30505	74	0.24	10637	34.87	35.11	19794	64.89
GCA_009176605.1	14636	3547	24.23	0	0.0	24.23	11089	75.77
GCA_000757645.3	36561	5	0.01	0	0.0	0.01	36556	99.99
GCF_000485595.1	20692	2986	14.43	2129	10.29	24.72	15577	75.28
GCA_902177915.1	19306	4963	25.71	0	0.0	25.71	14343	74.29
GCA_964033795.1	22499	6403	28.46	0	0.0	28.46	16096	71.54
GCF_032884065.1	29080	1121	3.85	5857	20.14	24.0	22102	76.0
GCF_004210375.1	70410	988	1.4	20510	29.13	30.53	48912	69.47
GCF_034640455.1	24183	81	0.33	4693	19.41	19.74	19409	80.26
GCA_019974015.1	72441	11556	15.95	0	0.0	15.95	60885	84.05
GCF_003672135.1	24215	351	1.45	4340	17.92	19.37	19524	80.63
GCF_001263275.1	12256	1194	9.74	779	6.36	16.1	10283	83.9
GCF_030449975.1	24165	310	1.28	4836	20.01	21.3	19019	78.7
GCF_018152265.1	22110	1255	5.68	2400	10.85	16.53	18455	83.47
GCA_005959815.1	15763	4863	30.85	0	0.0	30.85	10900	69.15
GCA_036245805.1	33526	26523	79.11	0	0.0	79.11	7003	20.89
GCA_022750525.1	14583	0	0.0	0	0.0	0.0	14583	100.0
GCA_037055365.1	14991	471	3.14	0	0.0	3.14	14520	96.86
GCA_944472155.2	20268	1036	5.11	0	0.0	5.11	19232	94.89
GCA_051912415.1	68192	38	0.06	0	0.0	0.06	68154	99.94
GCF_032062105.1	56432	4888	8.66	3667	6.5	15.16	47877	84.84
GCF_015732765.1	24531	907	3.7	4457	18.17	21.87	19167	78.13
GCF_009193385.2	34173	171	0.5	9008	26.36	26.86	24994	73.14
GCF_902652985.1	39918	1986	4.98	4245	10.63	15.61	33687	84.39
GCF_945859685.1	22320	166	0.74	3112	13.94	14.69	19042	85.31
GCF_013141755.1	29660	195	0.66	10083	34.0	34.65	19382	65.35
GCF_932274485.2	27726	414	1.49	4378	15.79	17.28	22934	82.72
GCF_943734635.1	14301	820	5.73	846	5.92	11.65	12635	88.35
GCA_002082055.1	20860	474	2.27	0	0.0	2.27	20386	97.73
GCF_023897955.1	37988	346	0.91	6227	16.39	17.3	31415	82.7
GCF_964204645.1	23245	171	0.74	2810	12.09	12.82	20264	87.18
GCA_963669975.1	59178	34	0.06	0	0.0	0.06	59144	99.94
GCA_036245825.1	30877	24747	80.15	0	0.0	80.15	6130	19.85
GCA_905116865.2	22464	10683	47.56	0	0.0	47.56	11781	52.44
GCA_964199285.2	19482	8885	45.61	0	0.0	45.61	10597	54.39
GCF_026930045.1	18993	1460	7.69	1022	5.38	13.07	16511	86.93
GCA_043792615.1	19015	2059	10.83	0	0.0	10.83	16956	89.17
GCF_000696795.3	26305	2544	9.67	3617	13.75	23.42	20144	76.58
GCF_905147795.1	20497	93	0.45	1967	9.6	10.05	18437	89.95
GCA_050785175.1	16102	756	4.7	0	0.0	4.7	15346	95.3
GCA_005406025.1	96513	1315	1.36	0	0.0	1.36	95198	98.64
GCF_028476545.2	41294	1238	3.0	8333	20.18	23.18	31723	76.82
GCF_020536995.1	75288	737	0.98	13916	18.48	19.46	60635	80.54
GCF_050003625.1	26083	206	0.79	4135	15.85	16.64	21742	83.36
GCF_024364675.1	21401	81	0.38	2033	9.5	9.88	19287	90.12
GCF_000002995.4	14709	454	3.09	0	0.0	3.09	14255	96.91
GCF_032118995.1	26569	217	0.82	3590	13.51	14.33	22762	85.67
GCF_021901495.1	27752	55	0.2	5775	20.81	21.01	21922	78.99
GCF_018152505.1	23444	348	1.48	2460	10.49	11.98	20636	88.02
GCF_000326865.2	23368	4090	17.5	0	0.0	17.5	19278	82.5
GCA_038050395.1	14951	37	0.25	0	0.0	0.25	14914	99.75
GCF_040668555.1	23981	106	0.44	5305	22.12	22.56	18570	77.44
GCF_010183535.1	26296	140	0.53	0	0.0	0.53	26156	99.47
GCA_043882145.1	11866	262	2.21	0	0.0	2.21	11604	97.79
GCF_019457755.1	23837	48	0.2	4690	19.68	19.88	19099	80.12
GCF_005281655.2	23861	2413	10.11	3590	15.05	25.16	17858	74.84
GCA_034768735.1	9094	561	6.17	0	0.0	6.17	8533	93.83
GCA_033782935.1	47599	2535	5.33	0	0.0	5.33	45064	94.67
GCF_958299795.1	32436	269	0.83	1469	4.53	5.36	30698	94.64
GCF_003227725.1	23971	240	1.0	4284	17.87	18.87	19447	81.13
GCF_019059575.1	59724	1059	1.77	18813	31.5	33.27	39852	66.73
GCF_947563725.1	30141	76	0.25	4833	16.03	16.29	25232	83.71
GCA_904063045.1	16378	314	1.92	0	0.0	1.92	16064	98.08
GCA_025642075.2	31619	605	1.91	0	0.0	1.91	31014	98.09
GCA_964186735.1	34075	322	0.94	0	0.0	0.94	33753	99.06
GCF_029603195.1	19937	347	1.74	3013	15.11	16.85	16577	83.15
GCA_019973935.1	517370	4378	0.85	0	0.0	0.85	512992	99.15
GCF_023055435.1	55609	284	0.51	7962	14.32	14.83	47363	85.17
GCF_902459465.1	24049	322	1.34	2685	11.16	12.5	21042	87.5
GCA_942486035.1	42872	12225	28.52	0	0.0	28.52	30647	71.48
GCF_037126465.1	35853	208	0.58	4332	12.08	12.66	31313	87.34
GCF_035046485.1	33072	1021	3.09	6165	18.64	21.73	25886	78.27
