speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCF_023638135.1	41530	1092	2.63	8413	20.26	22.89	32025	77.11
GCA_013397135.1	15567	15567	100.0	0	0.0	100.0	0	0.0
GCA_036250305.1	31620	7970	25.21	0	0.0	25.21	23650	74.79
GCA_964260595.1	39504	1656	4.19	0	0.0	4.19	37848	95.81
GCA_013399135.1	14993	14992	99.99	0	0.0	99.99	1	0.01
GCA_007224835.1	35770	6527	18.25	2239	6.26	24.51	27004	75.49
GCA_013401255.1	15344	15344	100.0	0	0.0	100.0	0	0.0
GCF_020497125.1	55334	964	1.74	12190	22.03	23.77	42180	76.23
GCF_047496885.1	53161	1331	2.5	10599	19.94	22.44	41231	77.56
GCF_047496795.1	49247	897	1.82	11008	22.35	24.17	37342	75.83
GCA_051861665.1	33136	812	2.45	0	0.0	2.45	32324	97.55
GCA_965212315.1	21668	2093	9.66	0	0.0	9.66	19575	90.34
GCF_000705375.1	17892	4910	27.44	260	1.45	28.9	12722	71.1
GCF_032062135.1	34322	2084	6.07	4710	13.72	19.79	27528	80.21
GCF_958295425.1	42665	354	0.83	5010	11.74	12.57	37301	87.43
GCA_013396655.1	15733	15732	99.99	0	0.0	99.99	1	0.01
GCF_040937935.1	50536	583	1.15	9610	19.02	20.17	40343	79.83
GCF_022655615.1	55926	720	1.29	8654	15.47	16.76	46552	83.24
GCA_040894045.1	24516	620	2.53	0	0.0	2.53	23896	97.47
GCF_004355925.1	41957	1844	4.39	4609	10.99	15.38	35504	84.62
GCF_009769535.1	31010	2331	7.52	4162	13.42	20.94	24517	79.06
GCA_964034765.1	26971	23	0.09	0	0.0	0.09	26948	99.91
GCF_026119805.1	41586	525	1.26	8093	19.46	20.72	32968	79.28
GCA_010085365.1	13993	13993	100.0	0	0.0	100.0	0	0.0
GCF_902713615.1	49579	1531	3.09	9592	19.35	22.43	38456	77.57
GCF_012460135.2	28960	1656	5.72	3703	12.79	18.5	23601	81.5
GCA_013397865.1	15788	15788	100.0	0	0.0	100.0	0	0.0
GCF_040182565.1	53386	1127	2.11	12492	23.4	25.51	39767	74.49
GCF_001266775.1	35332	10189	28.84	2478	7.01	35.85	22665	64.15
GCA_010080425.1	16951	16951	100.0	0	0.0	100.0	0	0.0
GCF_025592945.1	45016	944	2.1	9509	21.12	23.22	34563	76.78
GCF_037176945.1	33766	284	0.84	3875	11.48	12.32	29607	87.68
GCF_015846415.1	44241	1200	2.71	5774	13.05	15.76	37267	84.24
GCF_018320785.1	40068	357	0.89	4542	11.34	12.23	35169	87.77
GCF_000690835.1	16251	8588	52.85	75	0.46	53.31	7588	46.69
GCA_013400835.1	14708	14707	99.99	0	0.0	99.99	1	0.01
GCF_000004195.4	45171	2666	5.9	7137	15.8	21.7	35368	78.3
GCF_019097595.1	46915	702	1.5	6068	12.93	14.43	40145	85.57
GCF_900700375.1	50213	825	1.64	6789	13.52	15.16	42599	84.84
GCF_014905685.2	24108	2308	9.57	435	1.8	11.38	21365	88.62
GCF_900634775.1	43538	992	2.28	4850	11.14	13.42	37696	86.58
GCA_013397815.1	15340	15337	99.98	0	0.0	99.98	3	0.02
GCF_947461875.1	45050	881	1.96	8707	19.33	21.28	35462	78.72
GCF_026437365.1	33816	550	1.63	1457	4.31	5.94	31809	94.06
GCA_013400335.1	15305	15304	99.99	0	0.0	99.99	1	0.01
GCA_013400795.1	15695	15693	99.99	0	0.0	99.99	2	0.01
GCF_035770615.1	35801	1482	4.14	5761	16.09	20.23	28558	79.77
GCF_040938575.1	51594	149	0.29	8508	16.49	16.78	42937	83.22
GCA_013398125.1	15054	15053	99.99	0	0.0	99.99	1	0.01
GCA_013397955.1	15742	15741	99.99	0	0.0	99.99	1	0.01
GCF_014858855.1	38582	1066	2.76	5285	13.7	16.46	32231	83.54
GCA_040182925.1	30141	2276	7.55	519	1.72	9.27	27346	90.73
GCA_013400695.1	9824	9820	99.96	0	0.0	99.96	4	0.04
GCF_029931775.1	23814	621	2.61	388	1.63	4.24	22805	95.76
GCF_018977255.1	30512	2388	7.83	4343	14.23	22.06	23781	77.94
GCA_013397235.1	15437	15437	100.0	0	0.0	100.0	0	0.0
GCA_013389885.1	14734	14732	99.99	0	0.0	99.99	2	0.01
GCF_009819795.1	27809	802	2.88	3606	12.97	15.85	23401	84.15
GCA_013398595.1	15241	15241	100.0	0	0.0	100.0	0	0.0
GCA_040091285.1	38611	9193	23.81	0	0.0	23.81	29418	76.19
GCF_900700415.2	47030	1464	3.11	5504	11.7	14.82	40062	85.18
GCF_038048845.1	40962	458	1.12	5868	14.33	15.44	34636	84.56
GCA_013390105.1	12917	12917	100.0	0	0.0	100.0	0	0.0
GCA_013400135.1	15206	15206	100.0	0	0.0	100.0	0	0.0
GCA_013396915.1	15710	15710	100.0	0	0.0	100.0	0	0.0
GCF_013358895.1	49985	861	1.72	7233	14.47	16.19	41891	83.81
GCF_902500255.1	36431	2565	7.04	3220	8.84	15.88	30646	84.12
GCA_013400155.1	15665	15664	99.99	0	0.0	99.99	1	0.01
GCA_013390005.1	14872	14870	99.99	0	0.0	99.99	2	0.01
GCF_023724105.1	90703	925	1.02	10999	12.13	13.15	78779	86.85
GCF_018492685.1	56159	1066	1.9	8655	15.41	17.31	46438	82.69
GCF_947347685.1	37236	1043	2.8	4402	11.82	14.62	31791	85.38
GCF_046119375.1	49593	639	1.29	7512	15.15	16.44	41442	83.56
GCF_002901205.1	31355	2903	9.26	4443	14.17	23.43	24009	76.57
GCA_013399535.1	14985	14985	100.0	0	0.0	100.0	0	0.0
GCF_048771995.1	47641	806	1.69	9917	20.82	22.51	36918	77.49
GCF_021018805.1	36147	614	1.7	6769	18.73	20.42	28764	79.58
GCF_004027225.2	43644	728	1.67	8733	20.01	21.68	34183	78.32
GCA_013396615.1	15848	15848	100.0	0	0.0	100.0	0	0.0
GCF_028390025.1	51864	504	0.97	9014	17.38	18.35	42346	81.65
GCF_019703515.2	81312	837	1.03	11171	13.74	14.77	69304	85.23
GCA_013400815.1	14518	14517	99.99	0	0.0	99.99	1	0.01
GCF_003945595.2	35876	943	2.63	6264	17.46	20.09	28669	79.91
GCA_013399355.1	15806	15806	100.0	0	0.0	100.0	0	0.0
GCA_010084205.1	16152	16152	100.0	0	0.0	100.0	0	0.0
