speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCF_000025685.1	4009	121	3.02	29	0.72	3.74	3859	96.26
GCF_000021965.1	2840	56	1.97	1	0.04	2.01	2783	97.99
GCF_017873855.1	2517	2	0.08	1	0.04	0.12	2514	99.88
GCF_019880225.1	3070	30	0.98	40	1.3	2.28	3000	97.72
GCF_050122995.1	3029	26	0.86	0	0.0	0.86	3003	99.14
GCF_031624495.1	4474	93	2.08	0	0.0	2.08	4381	97.92
GCF_000230715.2	3705	118	3.18	29	0.78	3.97	3558	96.03
GCF_040025155.1	2955	30	1.02	0	0.0	1.02	2925	98.98
GCF_028912405.1	2114	20	0.95	1	0.05	0.99	2093	99.01
GCF_000585495.1	2182	11	0.5	0	0.0	0.5	2171	99.5
GCF_004118325.1	4173	64	1.53	0	0.0	1.53	4109	98.47
GCF_000711215.1	1621	4	0.25	0	0.0	0.25	1617	99.75
GCF_022869805.1	4995	125	2.5	6	0.12	2.62	4864	97.38
GCF_047715405.1	4548	49	1.08	1	0.02	1.1	4498	98.9
GCF_000253055.1	2075	24	1.16	2	0.1	1.25	2049	98.75
GCF_000011005.1	3048	12	0.39	10	0.33	0.72	3026	99.28
GCF_030296715.1	2803	176	6.28	28	1.0	7.28	2599	92.72
GCF_001971705.1	3733	25	0.67	3	0.08	0.75	3705	99.25
GCF_003675855.1	3842	54	1.41	2	0.05	1.46	3786	98.54
GCF_005890195.1	3776	69	1.83	3	0.08	1.91	3704	98.09
GCF_020614395.1	2563	5	0.2	0	0.0	0.2	2558	99.8
GCF_039545195.1	4289	88	2.05	1	0.02	2.08	4200	97.92
GCF_016757965.1	2431	27	1.11	2	0.08	1.19	2402	98.81
GCF_030505615.1	3562	48	1.35	13	0.36	1.71	3501	98.29
GCF_039641995.1	2184	12	0.55	0	0.0	0.55	2172	99.45
GCF_001280455.1	3647	94	2.58	2	0.05	2.63	3551	97.37
GCF_001469875.2	3919	107	2.73	0	0.0	2.73	3812	97.27
GCF_024178165.1	3095	71	2.29	5	0.16	2.46	3019	97.54
GCF_000711905.1	1636	14	0.86	4	0.24	1.1	1618	98.9
GCF_031454185.1	2396	36	1.5	0	0.0	1.5	2360	98.5
GCF_000265525.1	2071	8	0.39	0	0.0	0.39	2063	99.61
GCF_024227995.1	3794	25	0.66	0	0.0	0.66	3769	99.34
GCF_013407145.1	1901	4	0.21	0	0.0	0.21	1897	99.79
GCF_001748385.1	2141	18	0.84	0	0.0	0.84	2123	99.16
GCF_000337575.1	3907	95	2.43	0	0.0	2.43	3812	97.57
