speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCF_004664715.2	48592	3075	6.33	7896	16.25	22.58	37621	77.42
GCF_016881025.1	56003	1491	2.66	10767	19.23	21.89	43745	78.11
GCF_002007445.2	53814	2524	4.69	10739	19.96	24.65	40551	75.35
GCF_902686445.1	52341	2225	4.25	9677	18.49	22.74	40439	77.26
GCF_000003025.6	63714	4239	6.65	16221	25.46	32.11	43254	67.89
GCF_012274545.1	47380	2310	4.88	8508	17.96	22.83	36562	77.17
GCF_006229205.1	43409	1599	3.68	7168	16.51	20.2	34642	79.8
GCF_017591425.1	42075	739	1.76	3322	7.9	9.65	38014	90.35
GCF_021234165.1	34285	1277	3.72	4189	12.22	15.94	28819	84.06
GCF_028538775.1	43150	1121	2.6	6568	15.22	17.82	35461	82.18
GCF_003254725.2	74854	1171	1.56	18848	25.18	26.74	54835	73.26
GCF_000276665.1	45610	4882	10.7	8188	17.95	28.66	32540	71.34
GCF_040802235.1	68510	1246	1.82	14657	21.39	23.21	52607	76.79
GCF_029281585.2	81199	1362	1.68	21173	26.08	27.75	58664	72.25
GCF_029834395.1	32924	1231	3.74	2684	8.15	11.89	29009	88.11
GCF_900095145.1	42393	887	2.09	6479	15.28	17.38	35027	82.62
GCF_029289425.2	81537	1248	1.53	20614	25.28	26.81	59675	73.19
GCF_004126475.2	47220	1965	4.16	8018	16.98	21.14	37237	78.86
GCF_021234435.1	48232	1090	2.26	9802	20.32	22.58	37340	77.42
GCF_000349705.1	40334	2845	7.05	5926	14.69	21.75	31563	78.25
GCF_014824575.3	42961	1293	3.01	7171	16.69	19.7	34497	80.3
GCF_000696425.1	32364	5223	16.14	1847	5.71	21.85	25294	78.15
GCF_037993035.2	117648	980	0.83	36803	31.28	32.12	79865	67.88
GCF_027574615.1	39013	1023	2.62	4879	12.51	15.13	33111	84.87
GCF_050624435.1	37581	634	1.69	4690	12.48	14.17	32257	85.83
GCF_022079265.1	38753	1058	2.73	4699	12.13	14.86	32996	85.14
GCF_000334495.1	38683	5620	14.53	5294	13.69	28.21	27769	71.79
GCF_011762505.1	41699	1122	2.69	5077	12.18	14.87	35500	85.13
GCF_018350155.1	67613	863	1.28	14559	21.53	22.81	52191	77.19
GCF_027409185.1	41432	1536	3.71	4859	11.73	15.43	35037	84.57
GCF_029378745.1	59373	632	1.06	12210	20.56	21.63	46531	78.37
GCF_900497805.2	42735	1658	3.88	6838	16.0	19.88	34239	80.12
