speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCA_014058105.1	43300	5670	13.09	0	0.0	13.09	37630	86.91
GCA_002245815.2	10070	75	0.74	158	1.57	2.31	9837	97.69
GCF_019186545.1	39771	636	1.6	3653	9.19	10.78	35482	89.22
GCA_025200525.1	54167	696	1.28	0	0.0	1.28	53471	98.72
GCA_019202795.1	63488	1380	2.17	2860	4.5	6.68	59248	93.32
GCA_011114355.1	22441	0	0.0	0	0.0	0.0	22441	100.0
GCF_036512215.1	44391	588	1.32	7968	17.95	19.27	35835	80.73
GCF_000004255.2	39161	2078	5.31	3826	9.77	15.08	33257	84.92
GCA_003546025.1	27885	1549	5.55	0	0.0	5.55	26336	94.45
GCA_019925795.1	30041	463	1.54	0	0.0	1.54	29578	98.46
GCF_048772165.1	31675	76	0.24	5347	16.88	17.12	26252	82.88
GCF_029867415.1	67148	428	0.64	6175	9.2	9.83	60545	90.17
GCF_005286985.2	36947	341	0.92	4122	11.16	12.08	32484	87.92
GCA_001598015.1	47778	1131	2.37	0	0.0	2.37	46647	97.63
GCA_051132755.1	51816	0	0.0	0	0.0	0.0	51816	100.0
GCA_049488355.1	15440	8	0.05	0	0.0	0.05	15432	99.95
GCA_008636005.1	33426	3049	9.12	0	0.0	9.12	30377	90.88
GCA_040167595.1	53141	289	0.54	6249	11.76	12.3	46603	87.7
GCA_034509735.1	29926	348	1.16	0	0.0	1.16	29578	98.84
GCA_030737845.1	45828	0	0.0	0	0.0	0.0	45828	100.0
GCA_005393395.2	38281	0	0.0	89	0.23	0.23	38192	99.77
GCA_051938595.1	51686	0	0.0	6658	12.88	12.88	45028	87.12
GCA_029228515.1	54422	509	0.94	0	0.0	0.94	53913	99.06
GCA_043235775.1	49414	7	0.01	0	0.0	0.01	49407	99.99
GCA_037954025.1	34063	2629	7.72	0	0.0	7.72	31434	92.28
GCF_025698545.1	50451	785	1.56	6918	13.71	15.27	42748	84.73
GCA_016858145.1	20450	207	1.01	0	0.0	1.01	20243	98.99
GCF_029017545.1	50190	1998	3.98	8921	17.77	21.76	39271	78.24
GCF_009730915.1	33298	2448	7.35	3907	11.73	19.09	26943	80.91
GCA_002738505.1	41063	1316	3.2	3792	9.23	12.44	35955	87.56
GCF_008641045.1	41299	1709	4.14	3759	9.1	13.24	35831	86.76
GCA_025201885.1	15335	800	5.22	0	0.0	5.22	14535	94.78
GCF_001263595.1	29894	3789	12.67	3932	13.15	25.83	22173	74.17
GCA_964030465.3	150710	84	0.06	0	0.0	0.06	150626	99.94
GCA_050947055.1	10053	0	0.0	0	0.0	0.0	10053	100.0
GCF_016545825.1	45101	3495	7.75	5791	12.84	20.59	35815	79.41
GCF_012489685.1	44420	331	0.75	5788	13.03	13.78	38301	86.22
GCA_026225825.1	34132	0	0.0	0	0.0	0.0	34132	100.0
GCF_000263155.2	35844	771	2.15	3831	10.69	12.84	31242	87.16
GCF_002738345.1	42777	349	0.82	7757	18.13	18.95	34671	81.05
GCA_021904315.1	46801	540	1.15	9628	20.57	21.73	36633	78.27
GCF_029962835.1	48288	199	0.41	6825	14.13	14.55	41264	85.45
GCA_033065855.1	31028	4063	13.09	0	0.0	13.09	26965	86.91
GCF_013358625.1	46649	1050	2.25	8673	18.59	20.84	36926	79.16
GCF_011075055.1	52078	750	1.44	9275	17.81	19.25	42053	80.75
GCF_000331145.2	36264	659	1.82	5103	14.07	15.89	30502	84.11
GCF_046630445.1	57183	841	1.47	4873	8.52	9.99	51469	90.01
GCA_030144725.1	30548	5810	19.02	0	0.0	19.02	24738	80.98
GCA_037833965.1	20354	2	0.01	0	0.0	0.01	20352	99.99
GCA_039602395.1	33240	392	1.18	0	0.0	1.18	32848	98.82
GCF_000695525.1	56687	1795	3.17	5309	9.37	12.53	49583	87.47
GCA_001925005.2	27627	2826	10.23	0	0.0	10.23	24801	89.77
GCA_902728155.2	49935	492	0.99	0	0.0	0.99	49443	99.01
GCA_009363875.1	46351	24	0.05	0	0.0	0.05	46327	99.95
GCA_964340505.1	44864	52	0.12	0	0.0	0.12	44812	99.88
GCF_000463585.1	41094	1159	2.82	6232	15.17	17.99	33703	82.01
GCF_002878395.1	51559	3098	6.01	9261	17.96	23.97	39200	76.03
GCA_023531295.1	53981	8179	15.15	0	0.0	15.15	45802	84.85
GCF_000390325.3	59502	192	0.32	7774	13.07	13.39	51536	86.61
GCF_018687715.1	54484	235	0.43	10430	19.14	19.57	43819	80.43
GCA_001584585.1	16290	0	0.0	0	0.0	0.0	16290	100.0
GCA_051307295.1	50531	0	0.0	4186	8.28	8.28	46345	91.72
GCA_965153435.1	32466	1625	5.01	0	0.0	5.01	30841	94.99
GCF_937616625.2	33382	199	0.6	3574	10.71	11.3	29609	88.7
GCA_038485145.1	154226	237	0.15	0	0.0	0.15	153989	99.85
GCF_003935025.1	40048	233	0.58	4967	12.4	12.98	34848	87.02
GCF_958298935.1	55965	416	0.74	7419	13.26	14.0	48130	86.0
GCA_035582545.1	32263	72	0.22	0	0.0	0.22	32191	99.78
GCA_047302245.1	64841	0	0.0	0	0.0	0.0	64841	100.0
GCF_002575655.3	57892	350	0.6	8308	14.35	14.96	49234	85.04
GCA_030848705.1	55106	34	0.06	0	0.0	0.06	55072	99.94
GCA_030268105.1	13456	3872	28.78	0	0.0	28.78	9584	71.22
GCA_016834595.1	16268	118	0.73	0	0.0	0.73	16150	99.27
GCF_001683475.1	63173	775	1.23	6369	10.08	11.31	56029	88.69
GCA_945859875.1	29522	2238	7.58	0	0.0	7.58	27284	92.42
GCA_051991645.1	74605	0	0.0	0	0.0	0.0	74605	100.0
GCA_020521535.1	68732	360	0.52	0	0.0	0.52	68372	99.48
GCA_003952965.2	29351	175	0.6	0	0.0	0.6	29176	99.4
GCA_038396805.1	8923	1	0.01	0	0.0	0.01	8922	99.99
GCA_964270275.1	33371	3564	10.68	0	0.0	10.68	29807	89.32
GCF_000504015.1	31861	1030	3.23	2062	6.47	9.7	28769	90.3
GCA_039657365.1	31991	25	0.08	0	0.0	0.08	31966	99.92
GCA_030169165.1	33537	2496	7.44	0	0.0	7.44	31041	92.56
GCF_021117445.2	40707	398	0.98	5581	13.71	14.69	34728	85.31
GCA_047456115.1	148626	1468	0.99	0	0.0	0.99	147158	99.01
GCA_049309505.1	35482	0	0.0	0	0.0	0.0	35482	100.0
GCA_965616825.1	48823	0	0.0	0	0.0	0.0	48823	100.0
GCA_928212115.1	42788	123	0.29	0	0.0	0.29	42665	99.71
GCA_049466995.1	41468	3116	7.51	0	0.0	7.51	38352	92.49
GCA_025026875.1	11269	181	1.61	0	0.0	1.61	11088	98.39
GCF_002870075.4	47803	423	0.88	5482	11.47	12.35	41898	87.65
GCF_026745355.1	36441	642	1.76	5090	13.97	15.73	30709	84.27
GCA_013677235.1	34902	10069	28.85	193	0.55	29.4	24640	70.6
GCA_032871835.1	32822	667	2.03	0	0.0	2.03	32155	97.97
GCA_964261555.1	11909	4	0.03	0	0.0	0.03	11905	99.97
GCF_002207925.1	35009	1689	4.82	3813	10.89	15.72	29507	84.28
GCA_004837865.1	35148	2130	6.06	0	0.0	6.06	33018	93.94
GCA_028095005.1	91362	331	0.36	0	0.0	0.36	91031	99.64
GCF_002220235.1	7900	16	0.2	0	0.0	0.2	7884	99.8
GCA_022379115.2	42235	43	0.1	0	0.0	0.1	42192	99.9
GCF_000478725.1	33637	1209	3.59	2746	8.16	11.76	29682	88.24
GCF_963576675.1	35425	145	0.41	7340	20.72	21.13	27940	78.87
GCF_002994745.2	48188	584	1.21	8885	18.44	19.65	38719	80.35
GCA_904845875.1	68328	219	0.32	0	0.0	0.32	68109	99.68
GCA_019722365.1	32360	1960	6.06	0	0.0	6.06	30400	93.94
GCF_001406875.1	38023	450	1.18	5279	13.88	15.07	32294	84.93
GCF_019419815.1	51345	3002	5.85	7735	15.06	20.91	40608	79.09
GCA_026074375.1	1581980	240359	15.19	0	0.0	15.19	1341621	84.81
GCA_026901365.1	48965	1840	3.76	0	0.0	3.76	47125	96.24
GCA_049487715.1	14316	14	0.1	0	0.0	0.1	14302	99.9
GCF_000741045.1	42284	595	1.41	7038	16.64	18.05	34651	81.95
GCA_050947905.1	32006	6	0.02	0	0.0	0.02	32000	99.98
GCA_046119335.1	43172	2	0.0	0	0.0	0.0	43170	100.0
GCA_023343905.1	11167	109	0.98	0	0.0	0.98	11058	99.02
GCF_004353265.1	39906	676	1.69	6272	15.72	17.41	32958	82.59
GCA_040285715.1	31552	578	1.83	0	0.0	1.83	30974	98.17
GCA_037074985.1	35379	24	0.07	0	0.0	0.07	35355	99.93
GCF_000817695.3	44934	2208	4.91	5437	12.1	17.01	37289	82.99
GCF_019175385.1	52159	308	0.59	8319	15.95	16.54	43532	83.46
GCF_000147415.1	9780	1261	12.89	0	0.0	12.89	8519	87.11
GCA_039513925.1	24377	0	0.0	0	0.0	0.0	24377	100.0
GCA_040869135.1	33708	20	0.06	0	0.0	0.06	33688	99.94
GCF_963583255.1	43421	234	0.54	4406	10.15	10.69	38781	89.31
GCA_048987585.1	46357	1640	3.54	0	0.0	3.54	44717	96.46
GCA_037126225.1	36965	4587	12.41	0	0.0	12.41	32378	87.59
GCF_002806865.2	43464	1005	2.31	6829	15.71	18.02	35630	81.98
GCF_016808095.1	43641	305	0.7	7398	16.95	17.65	35938	82.35
GCF_000003195.3	39248	303	0.77	4910	12.51	13.28	34035	86.72
GCF_033153095.1	40352	820	2.03	2992	7.41	9.45	36540	90.55
GCA_025413875.1	52608	0	0.0	3381	6.43	6.43	49227	93.57
GCF_003573695.1	84179	549	0.65	10177	12.09	12.74	73453	87.26
GCA_008638375.1	36241	53	0.15	0	0.0	0.15	36188	99.85
GCA_026586065.1	30319	51	0.17	0	0.0	0.17	30268	99.83
GCA_014529385.2	31244	2065	6.61	598	1.91	8.52	28581	91.48
GCF_001605985.2	34389	1746	5.08	4840	14.07	19.15	27803	80.85
GCA_040746525.1	12540	16	0.13	0	0.0	0.13	12524	99.87
GCA_023547065.1	78041	4245	5.44	8148	10.44	15.88	65648	84.12
GCA_045791845.1	61958	6629	10.7	8398	13.55	24.25	46931	75.75
GCF_030253575.1	49606	164	0.33	8361	16.85	17.19	41081	82.81
GCA_965601375.1	53321	0	0.0	0	0.0	0.0	53321	100.0
GCA_013487665.1	29559	11237	38.02	24	0.08	38.1	18298	61.9
GCF_016808335.1	84836	426	0.5	12664	14.93	15.43	71746	84.57
GCF_004118075.2	41082	452	1.1	6474	15.76	16.86	34156	83.14
GCF_022539505.1	54112	904	1.67	2745	5.07	6.74	50463	93.26
GCA_015342445.1	67843	5905	8.7	0	0.0	8.7	61938	91.3
GCF_000208745.1	30854	305	0.99	3729	12.09	13.07	26820	86.93
GCF_020921035.1	38931	547	1.41	6572	16.88	18.29	31812	81.71
GCA_031763795.1	5459	16	0.29	0	0.0	0.29	5443	99.71
GCA_905146915.1	10833	1355	12.51	0	0.0	12.51	9478	87.49
GCA_963454935.2	55498	6332	11.41	0	0.0	11.41	49166	88.59
GCF_901000735.1	36029	745	2.07	4156	11.54	13.6	31128	86.4
GCA_008932095.1	43120	145	0.34	0	0.0	0.34	42975	99.66
GCA_018804465.1	59102	0	0.0	0	0.0	0.0	59102	100.0
GCA_013677245.1	34870	8740	25.06	172	0.49	25.56	25958	74.44
GCF_025177605.1	35817	255	0.71	6912	19.3	20.01	28650	79.99
GCA_965231395.1	135932	15220	11.2	0	0.0	11.2	120712	88.8
GCA_964019345.2	11758	99	0.84	0	0.0	0.84	11659	99.16
GCA_051027295.1	52067	9323	17.91	45	0.09	17.99	42699	82.01
GCA_007844105.2	27165	0	0.0	0	0.0	0.0	27165	100.0
GCA_048183575.1	37398	4847	12.96	0	0.0	12.96	32551	87.04
GCA_019202805.1	64507	1561	2.42	2843	4.41	6.83	60103	93.17
GCA_002335675.1	14161	433	3.06	0	0.0	3.06	13728	96.94
GCF_933775445.1	25318	1059	4.18	2407	9.51	13.69	21852	86.31
GCF_004193775.1	69277	294	0.42	10050	14.51	14.93	58933	85.07
GCA_003203535.1	13383	270	2.02	0	0.0	2.02	13113	97.98
GCA_047496805.1	43651	696	1.59	5715	13.09	14.69	37240	85.31
GCF_028751815.1	49187	719	1.46	8371	17.02	18.48	40097	81.52
GCF_000375325.1	34126	846	2.48	3200	9.38	11.86	30080	88.14
GCF_014843425.1	29586	1163	3.93	4191	14.17	18.1	24232	81.9
GCA_032690845.1	48836	0	0.0	0	0.0	0.0	48836	100.0
GCA_046195345.1	27596	10	0.04	0	0.0	0.04	27586	99.96
GCF_042453785.1	61242	697	1.14	11227	18.33	19.47	49318	80.53
GCF_018294505.1	142450	2153	1.51	16669	11.7	13.21	123628	86.79
GCA_040144395.1	13485	20	0.15	0	0.0	0.15	13465	99.85
GCF_019914945.1	32824	189	0.58	5684	17.32	17.89	26951	82.11
GCF_000733215.1	7014	138	1.97	0	0.0	1.97	6876	98.03
GCA_046254845.1	25896	0	0.0	0	0.0	0.0	25896	100.0
GCF_000231095.2	30090	441	1.47	3034	10.08	11.55	26615	88.45
GCA_040286145.1	73126	2262	3.09	0	0.0	3.09	70864	96.91
GCA_023205875.1	8627	2	0.02	0	0.0	0.02	8625	99.98
GCF_932294415.1	53760	272	0.51	9927	18.47	18.97	43561	81.03
GCF_004153795.1	76698	3730	4.86	10266	13.38	18.25	62702	81.75
GCF_020283565.1	47931	332	0.69	6933	14.46	15.16	40666	84.84
GCA_004329165.1	31106	0	0.0	0	0.0	0.0	31106	100.0
GCA_013467495.1	24986	7190	28.78	90	0.36	29.14	17706	70.86
GCA_040670175.1	28696	61	0.21	0	0.0	0.21	28635	99.79
GCF_003713205.1	38150	632	1.66	4103	10.75	12.41	33415	87.59
GCA_965153455.1	21050	1558	7.4	0	0.0	7.4	19492	92.6
GCF_000715075.1	91380	1434	1.57	15355	16.8	18.37	74591	81.63
GCF_000633955.1	107481	4039	3.76	9034	8.41	12.16	94408	87.84
GCA_015143295.1	32739	7	0.02	0	0.0	0.02	32732	99.98
GCF_916048215.2	59561	337	0.57	9103	15.28	15.85	50121	84.15
GCA_018691285.1	30365	30365	100.0	0	0.0	100.0	0	0.0
GCF_000001735.4	48265	185	0.38	7318	15.16	15.55	40762	84.45
GCF_013401445.1	48101	271	0.56	7702	16.01	16.58	40128	83.42
GCA_040144335.1	9524	120	1.26	0	0.0	1.26	9404	98.74
GCA_029204225.1	69042	21	0.03	14106	20.43	20.46	54915	79.54
GCA_043381455.1	29319	69	0.24	0	0.0	0.24	29250	99.76
GCF_000004075.3	30919	512	1.66	4988	16.13	17.79	25419	82.21
GCF_004379255.2	79251	537	0.68	11129	14.04	14.72	67585	85.28
GCA_014851425.1	45268	0	0.0	0	0.0	0.0	45268	100.0
GCF_000393655.2	59072	223	0.38	7025	11.89	12.27	51824	87.73
GCA_029379385.1	41849	607	1.45	1893	4.52	5.97	39349	94.03
GCA_050990945.1	47670	0	0.0	3090	6.48	6.48	44580	93.52
GCF_000801105.2	65067	2456	3.77	5928	9.11	12.89	56683	87.11
GCA_030490815.1	38583	59	0.15	0	0.0	0.15	38524	99.85
GCA_039639745.1	26098	529	2.03	0	0.0	2.03	25569	97.97
GCA_014905375.1	30330	2667	8.79	0	0.0	8.79	27663	91.21
GCF_005239225.2	46460	758	1.63	7116	15.32	16.95	38586	83.05
GCF_019320115.1	95420	1528	1.6	11055	11.59	13.19	82837	86.81
GCA_020310875.1	75211	710	0.94	10236	13.61	14.55	64265	85.45
GCF_000493195.1	32586	729	2.24	3514	10.78	13.02	28343	86.98
GCA_964030455.1	58146	8	0.01	0	0.0	0.01	58138	99.99
GCA_013677255.1	31153	11270	36.18	59	0.19	36.37	19824	63.63
GCA_001633215.2	26468	4043	15.28	0	0.0	15.28	22425	84.72
GCA_964270295.1	33662	5354	15.91	0	0.0	15.91	28308	84.09
GCA_009746105.1	23559	23544	99.94	0	0.0	99.94	15	0.06
GCF_002742605.1	58334	1828	3.13	7778	13.33	16.47	48728	83.53
GCA_033239525.1	34005	61	0.18	0	0.0	0.18	33944	99.82
GCA_965154635.1	38139	19	0.05	0	0.0	0.05	38120	99.95
GCF_030052815.1	58025	852	1.47	9134	15.74	17.21	48039	82.79
GCA_022539455.1	29476	12	0.04	0	0.0	0.04	29464	99.96
GCA_050575165.1	34306	3	0.01	0	0.0	0.01	34303	99.99
GCF_000611645.1	16755	2468	14.73	0	0.0	14.73	14287	85.27
GCF_003086295.3	115651	438	0.38	31475	27.22	27.59	83738	72.41
GCF_002303985.1	63007	1170	1.86	9646	15.31	17.17	52191	82.83
GCF_048544455.1	59002	240	0.41	6173	10.46	10.87	52589	89.13
GCF_000143455.1	14336	2021	14.1	0	0.0	14.1	12315	85.9
GCA_013511315.1	28512	8517	29.87	55	0.19	30.06	19940	69.94
GCF_024323335.1	51096	528	1.03	4558	8.92	9.95	46010	90.05
GCA_964271285.1	36016	4959	13.77	0	0.0	13.77	31057	86.23
GCA_023529015.1	30973	5555	17.93	0	0.0	17.93	25418	82.07
GCA_027725995.1	23215	34	0.15	0	0.0	0.15	23181	99.85
GCF_000346465.2	32595	259	0.79	4312	13.23	14.02	28024	85.98
GCA_001974825.2	35704	799	2.24	0	0.0	2.24	34905	97.76
GCF_902167145.1	57345	1548	2.7	10624	18.53	21.23	45173	78.77
GCA_902206195.3	28854	81	0.28	0	0.0	0.28	28773	99.72
GCA_023531105.1	32767	3978	12.14	0	0.0	12.14	28789	87.86
GCF_002127325.2	75695	399	0.53	9310	12.3	12.83	65986	87.17
GCF_000005505.3	37892	343	0.91	5552	14.65	15.56	31997	84.44
GCA_043237855.1	57587	9	0.02	0	0.0	0.02	57578	99.98
GCA_013467465.1	32895	8549	25.99	163	0.5	26.48	24183	73.52
GCF_034140825.1	42933	422	0.98	6554	15.27	16.25	35957	83.75
GCA_025563575.1	47624	116	0.24	0	0.0	0.24	47508	99.76
GCA_029030765.1	36360	1079	2.97	1710	4.7	7.67	33571	92.33
GCA_029216955.1	63918	0	0.0	0	0.0	0.0	63918	100.0
GCA_018107945.1	52106	11409	21.9	0	0.0	21.9	40697	78.1
GCA_051903605.1	24378	2057	8.44	0	0.0	8.44	22321	91.56
GCA_045678815.1	24526	5	0.02	0	0.0	0.02	24521	99.98
GCA_030737835.1	24974	0	0.0	0	0.0	0.0	24974	100.0
GCF_951802175.1	44423	263	0.59	6561	14.77	15.36	37599	84.64
GCF_000090985.2	10140	961	9.48	5	0.05	9.53	9174	90.47
GCA_002914845.1	35852	4875	13.6	0	0.0	13.6	30977	86.4
GCF_031755915.1	41232	481	1.17	7294	17.69	18.86	33457	81.14
GCA_035578085.1	34245	4	0.01	0	0.0	0.01	34241	99.99
GCF_006381635.1	81925	2773	3.38	6369	7.77	11.16	72783	88.84
GCA_040955855.1	38852	0	0.0	0	0.0	0.0	38852	100.0
GCF_019578655.1	33187	479	1.44	5032	15.16	16.61	27676	83.39
GCA_963970355.1	24167	719	2.98	0	0.0	2.98	23448	97.02
GCF_000002595.2	19527	42	0.22	567	2.9	3.12	18918	96.88
GCA_051295405.1	42921	0	0.0	3707	8.64	8.64	39214	91.36
GCF_019359855.2	50896	224	0.44	6148	12.08	12.52	44524	87.48
GCA_023531435.1	42920	4352	10.14	0	0.0	10.14	38568	89.86
GCA_034359265.1	29421	0	0.0	0	0.0	0.0	29421	100.0
GCA_019776745.2	44770	37860	84.57	0	0.0	84.57	6910	15.43
GCA_028411795.1	27230	3	0.01	0	0.0	0.01	27227	99.99
GCA_029204005.1	36346	1009	2.78	1835	5.05	7.82	33502	92.18
GCF_003073215.2	48561	1546	3.18	5432	11.19	14.37	41583	85.63
GCA_028052125.1	31022	722	2.33	1396	4.5	6.83	28904	93.17
GCA_050613795.1	50411	6	0.01	0	0.0	0.01	50405	99.99
GCF_000499845.2	43271	248	0.57	7095	16.4	16.97	35928	83.03
GCA_007726485.1	55182	36186	65.58	0	0.0	65.58	18996	34.42
GCA_020921065.1	34806	6	0.02	0	0.0	0.02	34800	99.98
GCA_027562975.1	24339	49	0.2	0	0.0	0.2	24290	99.8
GCA_903112645.1	30573	18	0.06	0	0.0	0.06	30555	99.94
