speciesID	numOriginal	numFilteredOut	percentFilteredOut	numDuplicatesRemoved	percentDuplicatesRemoved	percentRemoved	numLeft	percentLeft
GCF_017874425.1	4216	69	1.64	0	0.0	1.64	4147	98.36
GCF_010994165.1	5850	61	1.04	2	0.03	1.08	5787	98.92
GCF_017876395.1	2598	70	2.69	13	0.5	3.19	2515	96.81
GCF_005502275.1	4946	102	2.06	5	0.1	2.16	4839	97.84
GCF_001078595.1	4872	96	1.97	16	0.33	2.3	4760	97.7
GCF_031845375.1	4890	48	0.98	0	0.0	0.98	4842	99.02
GCF_013166515.1	2538	69	2.72	1	0.04	2.76	2468	97.24
GCF_900106015.1	5097	103	2.02	40	0.78	2.81	4954	97.19
GCF_900157375.1	5652	147	2.6	8	0.14	2.74	5497	97.26
GCF_001975785.1	3275	65	1.98	0	0.0	1.98	3210	98.02
GCF_042140045.1	1860	46	2.47	1	0.05	2.53	1813	97.47
GCF_014836405.1	2762	13	0.47	1	0.04	0.51	2748	99.49
GCF_019139675.1	5038	72	1.43	16	0.32	1.75	4950	98.25
GCF_033977145.1	6667	206	3.09	1	0.01	3.1	6460	96.9
GCF_018860165.1	4135	117	2.83	2	0.05	2.88	4016	97.12
GCF_029887875.1	3760	80	2.13	19	0.51	2.63	3661	97.37
GCF_016904885.1	7708	58	0.75	16	0.21	0.96	7634	99.04
GCF_900660515.1	751	5	0.67	19	2.53	3.2	727	96.8
GCF_038739665.1	2917	29	0.99	13	0.45	1.44	2875	98.56
GCF_000063585.1	3595	67	1.86	2	0.06	1.92	3526	98.08
GCF_002197665.1	3303	21	0.64	0	0.0	0.64	3282	99.36
GCF_900185615.1	3779	30	0.79	6	0.16	0.95	3743	99.05
GCF_014384805.1	2073	13	0.63	1	0.05	0.68	2059	99.32
GCF_028369105.1	10450	101	0.97	23	0.22	1.19	10326	98.81
GCF_000702725.1	693	2	0.29	0	0.0	0.29	691	99.71
GCF_014203395.1	7420	159	2.14	57	0.77	2.91	7204	97.09
GCF_018127725.1	1996	34	1.7	2	0.1	1.8	1960	98.2
GCF_037120395.1	3756	18	0.48	1	0.03	0.51	3737	99.49
GCF_012033695.1	4568	147	3.22	16	0.35	3.57	4405	96.43
GCF_900105645.1	4221	66	1.56	1	0.02	1.59	4154	98.41
GCF_037903935.1	6130	97	1.58	3	0.05	1.63	6030	98.37
GCF_042431545.1	4102	22	0.54	2	0.05	0.59	4078	99.41
GCF_029537735.1	2852	10	0.35	1	0.04	0.39	2841	99.61
GCF_900156375.1	5851	158	2.7	9	0.15	2.85	5684	97.15
GCF_024055675.1	8809	76	0.86	0	0.0	0.86	8733	99.14
GCF_900103065.1	3462	80	2.31	1	0.03	2.34	3381	97.66
GCF_964028595.1	1229	68	5.53	32	2.6	8.14	1129	91.86
GCF_018598225.1	6445	31	0.48	1	0.02	0.5	6413	99.5
GCF_014280935.1	4169	61	1.46	14	0.34	1.8	4094	98.2
GCF_007991495.1	3548	34	0.96	1	0.03	0.99	3513	99.01
GCF_017488845.2	7657	312	4.07	55	0.72	4.79	7290	95.21
GCF_039531165.1	3922	129	3.29	9	0.23	3.52	3784	96.48
GCF_006385675.1	3426	60	1.75	9	0.26	2.01	3357	97.99
GCF_025639885.1	4153	117	2.82	25	0.6	3.42	4011	96.58
GCF_002157465.1	2826	100	3.54	77	2.72	6.26	2649	93.74
GCF_964031135.1	1424	120	8.43	80	5.62	14.04	1224	85.96
GCF_019977755.1	5890	99	1.68	14	0.24	1.92	5777	98.08
GCF_000834455.1	3789	61	1.61	1	0.03	1.64	3727	98.36
GCF_029194005.1	3681	22	0.6	8	0.22	0.81	3651	99.19
GCF_001243895.1	3746	82	2.19	33	0.88	3.07	3631	96.93
GCF_027625475.1	4155	95	2.29	13	0.31	2.6	4047	97.4
GCF_900142995.1	2325	57	2.45	4	0.17	2.62	2264	97.38
GCF_011189575.1	4603	238	5.17	18	0.39	5.56	4347	94.44
GCF_000484695.1	4954	344	6.94	8	0.16	7.11	4602	92.89
GCF_900475835.1	2508	20	0.8	14	0.56	1.36	2474	98.64
GCF_964026695.1	1465	102	6.96	80	5.46	12.42	1283	87.58
GCF_900105315.1	3593	80	2.23	19	0.53	2.76	3494	97.24
GCF_027570165.1	1976	49	2.48	0	0.0	2.48	1927	97.52
GCF_023008305.1	3425	43	1.26	9	0.26	1.52	3373	98.48
GCF_900128445.1	2329	25	1.07	9	0.39	1.46	2295	98.54
GCF_004295665.1	3717	37	1.0	32	0.86	1.86	3648	98.14
GCF_000092025.1	5265	93	1.77	4	0.08	1.84	5168	98.16
GCF_014202325.1	4340	29	0.67	0	0.0	0.67	4311	99.33
GCF_007954585.1	3502	56	1.6	20	0.57	2.17	3426	97.83
GCF_900104035.1	4318	44	1.02	8	0.19	1.2	4266	98.8
GCF_023008165.1	3455	18	0.52	2	0.06	0.58	3435	99.42
GCF_016900595.1	2959	37	1.25	0	0.0	1.25	2922	98.75
GCF_900106565.1	3447	10	0.29	3	0.09	0.38	3434	99.62
GCF_964264705.1	1416	63	4.45	32	2.26	6.71	1321	93.29
GCF_014649795.1	8591	222	2.58	2	0.02	2.61	8367	97.39
GCF_039532825.1	8836	477	5.4	3	0.03	5.43	8356	94.57
GCF_010731595.1	5143	109	2.12	7	0.14	2.26	5027	97.74
GCF_017355875.1	3937	7	0.18	0	0.0	0.18	3930	99.82
GCF_042654265.1	4121	108	2.62	0	0.0	2.62	4013	97.38
GCF_001591625.1	4507	76	1.69	0	0.0	1.69	4431	98.31
GCF_003363135.1	3152	16	0.51	0	0.0	0.51	3136	99.49
GCF_030437945.2	1344	43	3.2	42	3.12	6.32	1259	93.68
GCF_014649535.1	6978	286	4.1	1	0.01	4.11	6691	95.89
GCF_021728415.1	2900	7	0.24	1	0.03	0.28	2892	99.72
GCF_050402865.1	5283	78	1.48	15	0.28	1.76	5190	98.24
GCF_050026815.1	3590	32	0.89	7	0.19	1.09	3551	98.91
GCF_042662225.1	4186	35	0.84	0	0.0	0.84	4151	99.16
GCF_003574095.1	3696	100	2.71	3	0.08	2.79	3593	97.21
GCF_027286365.1	3352	74	2.21	20	0.6	2.8	3258	97.2
GCF_015500095.1	4848	26	0.54	13	0.27	0.8	4809	99.2
GCF_001698205.1	2917	12	0.41	0	0.0	0.41	2905	99.59
GCF_000960995.1	5992	259	4.32	75	1.25	5.57	5658	94.43
GCF_006334525.1	1180	124	10.51	15	1.27	11.78	1041	88.22
GCF_023380245.1	1473	17	1.15	45	3.05	4.21	1411	95.79
GCF_020905375.1	3305	32	0.97	1	0.03	1.0	3272	99.0
GCF_001306145.1	2768	22	0.79	1	0.04	0.83	2745	99.17
GCF_014192055.1	4405	42	0.95	3	0.07	1.02	4360	98.98
GCF_900141795.1	1664	13	0.78	1	0.06	0.84	1650	99.16
GCF_018499875.1	7111	73	1.03	0	0.0	1.03	7038	98.97
GCF_947250465.1	1120	51	4.55	27	2.41	6.96	1042	93.04
GCF_900660715.1	610	3	0.49	0	0.0	0.49	607	99.51
GCF_004564355.1	3701	14	0.38	4	0.11	0.49	3683	99.51
GCF_039542985.1	3964	23	0.58	1	0.03	0.61	3940	99.39
GCF_003614975.1	4962	101	2.04	5	0.1	2.14	4856	97.86
GCF_002221525.1	3930	33	0.84	16	0.41	1.25	3881	98.75
GCF_003459085.1	3446	22	0.64	0	0.0	0.64	3424	99.36
GCF_004348725.1	7231	134	1.85	2	0.03	1.88	7095	98.12
GCF_900109285.1	3543	49	1.38	1	0.03	1.41	3493	98.59
GCF_900096955.1	2507	50	1.99	1	0.04	2.03	2456	97.97
GCF_964028135.1	1622	197	12.15	157	9.68	21.82	1268	78.18
GCF_000341185.1	6177	238	3.85	0	0.0	3.85	5939	96.15
GCF_001408515.1	3951	366	9.26	36	0.91	10.17	3549	89.83
GCF_003570725.1	4220	109	2.58	0	0.0	2.58	4111	97.42
GCF_018141525.1	3387	56	1.65	4	0.12	1.77	3327	98.23
GCF_900110695.1	3819	49	1.28	2	0.05	1.34	3768	98.66
GCF_017592475.1	4762	60	1.26	1	0.02	1.28	4701	98.72
GCF_019168305.1	5296	219	4.14	1	0.02	4.15	5076	95.85
GCF_000341345.1	2904	36	1.24	6	0.21	1.45	2862	98.55
GCF_000812965.1	5230	15	0.29	8	0.15	0.44	5207	99.56
GCF_001687665.2	3139	25	0.8	12	0.38	1.18	3102	98.82
GCF_900660745.1	1739	16	0.92	63	3.62	4.54	1660	95.46
GCF_900109345.1	3667	27	0.74	0	0.0	0.74	3640	99.26
GCF_025642175.1	7718	367	4.76	1	0.01	4.77	7350	95.23
GCF_000145275.1	4403	56	1.27	42	0.95	2.23	4305	97.77
GCF_000246945.1	3006	56	1.86	1	0.03	1.9	2949	98.1
GCF_018687955.1	1905	15	0.79	1	0.05	0.84	1889	99.16
GCF_005930355.1	6193	141	2.28	1	0.02	2.29	6051	97.71
GCF_004353985.1	6642	197	2.97	5	0.08	3.04	6440	96.96
GCF_030506325.1	6185	33	0.53	63	1.02	1.55	6089	98.45
GCF_014931715.1	2145	12	0.56	12	0.56	1.12	2121	98.88
GCF_900176165.1	6441	209	3.24	57	0.88	4.13	6175	95.87
GCF_001513975.1	7459	213	2.86	0	0.0	2.86	7246	97.14
GCF_000423105.1	2770	25	0.9	8	0.29	1.19	2737	98.81
GCF_000189255.1	4289	52	1.21	1	0.02	1.24	4236	98.76
GCF_041953975.1	3835	70	1.83	18	0.47	2.29	3747	97.71
